,aces,break_point_opp_loss,break_point_opp_total,doubfts,first_serve_in,first_serves_won,rt_games_total,service_games,svpt_total,total_brk_faced,total_brk_saved,ace_pct,df_pct,first_serve_won_pct,broken_pct,breaking_pct,break_conversion_pct,win_pct_grass,win_pct_clay,win_pct_hard,Left_hand_win_pct,right_hand_win_pct
Yshai Oliel,0,2,3,3,75,31,18,18,111,21,8,0,0.027027027,0.413333333,0.722222222,0.055555556,0.333333333,0,0,0,0,0
Yuichi Sugita,124,146,255,85,1747,1187,342,339,2795,263,158,0.044364937,0.030411449,0.679450487,0.309734513,0.31871345,0.42745098,0.666666667,0.5,0.565217391,0.571428571,0.566666667
Yuki Bhambri,33,61,102,32,616,429,148,147,915,70,43,0.036065574,0.034972678,0.696428571,0.183673469,0.277027027,0.401960784,0,0,0.6,0.5,0.666666667
Yusuke Takahashi,4,6,10,2,43,28,15,15,87,9,4,0.045977011,0.022988506,0.651162791,0.333333333,0.266666667,0.4,0,0,0,0,0
Ze Zhang,19,26,34,20,222,157,58,56,336,28,11,0.056547619,0.05952381,0.707207207,0.303571429,0.137931034,0.235294118,0,0.5,0,0,0.2
Zhe Li,22,16,29,6,185,130,44,44,277,22,13,0.079422383,0.02166065,0.702702703,0.204545455,0.295454545,0.448275862,0,0,0,0,1
Zhizhen Zhang,24,16,27,10,202,151,51,53,345,25,16,0.069565217,0.028985507,0.747524752,0.169811321,0.215686275,0.407407407,0,0,0.666666667,0,0.666666667
Mackenzie McDonald,6,5,8,5,71,47.25,16,16,116.5,12,6,0.033784503,0.028805256,0.64,0.213541667,0.12,0.290997352,0,0,0,0,0
Bradley Klahn,6,5,8,5,71,47.0625,16,16,116.125,12,6,0.033792483,0.028835594,0.64,0.213541667,0.12,0.291063548,0,0,0,0,0
Jason Kubler,6,5,8,5,71,47.109375,16,16,116.21875,12,6,0.033798469,0.02881284,0.64,0.213541667,0.12,0.291013901,0,0,0,0,0
Lorenzo Sonego,6,5,8,5,71,47.07421875,16,16,116.1484375,12,6,0.03379398,0.028807152,0.64,0.213541667,0.12,0.291001489,0,0,0,0,0
Jay Clarke,6,5,8,5,71,47.08300781,16,16,116.1660156,12,6,0.033792857,0.02880573,0.64,0.213541667,0.12,0.291004592,0,0,0,0,0
