,player_1,player_2,ace_pct,df_pct,first_serve_pct,broken_pct,breaking_pct,break_conversion_pct,surface_win_pct,player_hand_win_pct,parameter_value,player_2_prob,player_1_prob,Prediction,Actual,Correct Prediction,,R2,,Random,Random Prediction,Correct Prediction,R2
294,Dusan Lajovic,Albert Ramos,-0.001825975,-0.005565306,-0.002612716,0.00718634,0.022232897,0.012473795,0.139047619,-0.161764706,0.075,0.447995818,0.552004182,1,0,0,,,,0.075913825,0,1,
299,Viktor Troicki,Martin Klizan,0.061182139,-0.0222364,0.04467982,-0.056810601,0.019844832,0.013304306,0.066239316,0.12173913,0.05,0.414600777,0.585399223,1,1,1,,,,0.185030558,0,0,
305,Marius Copil,Adrian Mannarino,0.093550255,0.004929496,0.046783601,-0.062577608,-0.077147998,0.039397607,-0.178861789,0.077777778,0.05,0.57095331,0.42904669,0,0,1,,,,0.975112537,1,0,
310,Viktor Troicki,Daniel Brands,-0.00026112,-0.031649559,-0.01503659,0.004469887,0.022360936,0.058176101,-0.138888889,-0.115646259,0,0.527890648,0.472109352,0,1,0,,,,0.488297846,0,0,
311,Marsel Ilhan,Filip Krajinovic,0.029364607,-0.012023618,0.048238699,-0.062178484,-0.06196944,-0.06795592,0.2,0.214285714,0,0.38441595,0.61558405,1,0,0,,,,0.128826589,0,1,
313,Adrian Mannarino,Evgeny Donskoy,-0.008076805,-0.009002178,-0.023997191,0.00935632,0.019129745,0.002409826,-0.043360434,0.422222222,0,0.473477251,0.526522749,1,1,1,,,,0.304152388,0,0,
326,David Ferrer,Pablo Cuevas,-0.041544064,0.003924385,-0.001493145,-0.001210287,0.117305764,0.008701063,0.113095238,0.222035324,0.0125,0.366026162,0.633973838,1,1,1,,,,0.788582469,1,1,
328,Diego Sebastian Schwartzman,Paolo Lorenzi,-0.02109754,0.004628855,-0.056936852,0.066903927,0.109004174,0.039642545,0.047619048,0.089285714,0.025,0.448535061,0.551464939,1,0,0,,,,0.629392531,1,0,
330,Dominic Thiem,Gastao Elias,0.050106342,-0.005628109,0.068046487,-0.11529429,0.017360154,-0.019527897,0.769230769,0.596153846,0,0.137093928,0.862906072,1,1,1,,,,0.014205488,0,0,
338,Dusan Lajovic,Facundo Arguello,0.005423919,-0.014380495,0.120655898,-0.20251063,0.09321725,-0.063915094,0.353333333,0.201612903,0,0.200284677,0.799715323,1,1,1,,,,0.078642387,0,0,
339,Pablo Carreno Busta,Dominic Thiem,-0.010811866,-0.005247397,-0.052143952,0.052997684,0.008845986,0.056501077,-0.369230769,-0.162820513,0.066666667,0.687799308,0.312200692,0,0,1,,,,0.490182531,0,1,
340,Fabio Fognini,Federico Delbonis,0.001588151,-0.001242418,0.00767125,-0.011784868,0.056416355,0.014554574,0.053571429,0.170940171,0,0.411524359,0.588475641,1,0,0,,,,0.171197443,0,1,
348,Taylor Harry Fritz,Ricardas Berankis,0.06867654,-0.03546986,-0.064897692,0.026143791,0.059390503,0.005405405,-0.523809524,0.62962963,0,0.657520035,0.342479965,0,1,0,,,,0.333732302,0,0,
349,Kei Nishikori,Mikhail Kukushkin,0.023097129,0.009829921,0.07636965,-0.10840352,0.056915595,-0.03682943,0.253333333,0.361904762,0,0.278867031,0.721132969,1,1,1,,,,0.779275322,1,1,
352,Taylor Harry Fritz,Benjamin Becker,0.051317539,-0.028402448,-0.050294143,-0.01806904,0.081816899,0.009756098,-0.363636364,0.72,0,0.552995936,0.447004064,0,1,0,,,,0.383473466,0,0,
357,Ricardas Berankis,Damir Dzumhur,0.021671376,0.013295756,0.071967343,-0.127620991,-0.09225281,-0.015661816,0.273809524,-0.091168091,0,0.349450638,0.650549362,1,1,1,,,,0.97806229,1,1,
358,Donald Young,Marcel Granollers,-0.016526905,0.027727945,-0.003310187,0.012418949,0.026148263,-0.002879902,0.230392157,-0.487179487,0.033333333,0.421277822,0.578722178,1,1,1,,,,0.27813944,0,0,
376,Martin Klizan,Roberto Bautista Agut,0.010673377,0.02080164,-0.018249363,0.081322056,-0.043480229,-0.056874598,-0.133699634,0.049689441,0.08,0.638901707,0.361098293,0,1,0,,,,0.194308483,0,0,
378,Philipp Kohlschreiber,Marin Cilic,-0.066606045,-0.010322673,-0.065267243,0.032158567,0.065367271,0.048567177,-0.177419355,-0.08172147,0.06,0.56896568,0.43103432,0,1,0,,,,0.21991193,0,0,
379,Nicolas Mahut,Jeremy Chardy,-0.011628242,-0.021810994,-0.029801704,0.037329845,-0.010281308,-0.023909927,-0.267813268,-0.055555556,0.1,0.658945124,0.341054876,0,1,0,,,,0.367418146,0,0,
381,Martin Klizan,Marcos Baghdatis,-0.03356066,0.002207086,-0.048600122,0.046707949,-0.041157277,-0.035587975,-0.105128205,-0.27173913,0.058333333,0.618787871,0.381212129,0,1,0,,,,0.254108702,0,0,
387,Jeremy Chardy,Evgeny Donskoy,0.024872557,0.010976804,0.01456849,-0.029293073,-0.020375045,0.013566617,-0.015015015,0,0.1,0.519076844,0.480923156,0,1,0,,,,0.631340386,1,1,
388,Teymuraz Gabashvili,Nicolas Mahut,-0.014333779,0.022400704,0.004543788,-0.003227188,0.008665364,-0.006837707,0.102272727,0.007168459,0.066666667,0.459205017,0.540794983,1,0,0,,,,0.787401012,1,0,
390,Viktor Troicki,Andrey Kuznetsov,0.062701843,-0.008417236,0.047832192,-0.087506095,-0.008087782,-0.063847709,0.083333333,0.2433281,0.042857143,0.409953351,0.590046649,1,1,1,,,,0.012472209,0,0,
391,Marcos Baghdatis,David Goffin,0.013510366,-0.004282719,0.005455453,-0.016905563,-0.043251907,0.024791067,0.01827957,0.032218845,0.05,0.498982355,0.501017645,1,1,1,,,,0.929518006,1,1,
397,Vasek Pospisil,Alexander Zverev,0.050384884,-0.013492197,0.054135704,-0.074208116,-0.039947747,-0.041327064,0.194444444,0.19,0,0.368095127,0.631904873,1,0,0,,,,0.581205728,1,0,
401,Gilles Muller,Andreas Seppi,0.096404116,0.01520026,0.068323909,-0.095919014,-0.09149343,-0.037390227,0.044846577,0.14,0.028571429,0.462813894,0.537186106,1,1,1,,,,0.51177447,1,1,
402,Denis Istomin,Marin Cilic,-0.057056419,-0.011918006,-0.06188295,0.059297972,0.012860723,0.0161279,-0.302419355,-0.113636364,0.083333333,0.670039893,0.329960107,0,0,1,,,,0.675908208,1,0,
404,Juan Martin Del Potro,Sam Querrey,-0.046353254,-0.01794623,0.039473288,-0.056979948,0.006719368,0.055555556,0.152173913,0.08974359,0,0.362209469,0.637790531,1,0,0,,,,0.997032913,1,0,
406,Tim Smyczek,Sam Querrey,-0.132934943,-0.012234163,-0.140730122,0.161651987,0.005921601,0.014035088,0.015810277,-0.09775641,0.1,0.608948642,0.391051358,0,0,1,,,,0.640019344,1,0,
407,Juan Martin Del Potro,Jeremy Chardy,0.040393791,-0.02417372,0.074678578,-0.095684577,-0.039315449,-0.015302728,-0.040540541,0,0,0.456517601,0.543482399,1,1,1,,,,0.994967268,1,1,
410,Austin Krajicek,Sam Querrey,-0.071736544,-0.008680132,-0.043419049,0.042014087,-0.054545455,-0.071428571,0.089673913,-0.388235294,0.066666667,0.550940717,0.449059283,0,0,1,,,,0.462004725,0,1,
414,Adrian Mannarino,Tatsuma Ito,0.001144694,-0.001059851,-0.010119705,-0.034015868,0.04547379,0.062389665,0.127579737,-0.077777778,0,0.387030147,0.612969853,1,1,1,,,,0.333591046,0,0,
417,Rajeev Ram,Illya Marchenko,0.0449362,-0.011851822,0.020964934,-0.021774456,-0.024696615,0.071202532,0.05,0.2,0,0.43625057,0.56374943,1,1,1,,,,0.841489808,1,1,
421,Mikhail Kukushkin,Donald Young,-0.007233494,-0.032928373,-0.021875453,-0.015128333,-0.023451306,0.050602578,-0.103333333,0.153846154,0.05,0.531043127,0.468956873,0,0,1,,,,0.8595182,1,0,
424,Noah Rubin,Samuel Groth,-0.166675211,-0.022000769,-0.016276477,-0.004726368,-0.100934579,-0.279792746,-0.444444444,-0.40625,0,0.75104685,0.24895315,0,1,0,,,,0.048210639,0,0,
