,player_1,player_2,ace_pct,df_pct,first_serve_pct,broken_pct,breaking_pct,break_conversion_pct,surface_win_pct,player_hand_win_pct,parameters_value,player_2_prob,player_1_prob,Prediction,Actual
433,Damir Dzumhur,Thomas Fabbiano,0.011758819153989492,-0.005181076146714689,0.02275126837153241,-0.2256586347759162,0.03403820367968702,0.1749752002487378,0.4492307692307693,0.3857142857142857,0.0,0.3045775253436839,0.6954224746563161,1,1
435,Pierre Hugues Herbert,Lucas Pouille,0.015245098093746634,0.004183083226019388,-0.011571310984962445,0.023678002353309413,-0.15177266081871346,-0.16894586894586894,-0.2430340557275542,-0.2971014492753624,0.07272727272727274,0.6579168247022128,0.3420831752977872,0,0
439,Karen Khachanov,Ruben Bemelmans,0.024188775321343448,0.017710855772833087,0.03332004517972231,-0.0634365634365634,-0.03453027640198117,0.07606516290726817,-0.25,-0.12698412698412706,0.0,0.5774612540322033,0.42253874596779667,0,1
441,Filip Krajinovic,Joao Sousa,0.03595137412606196,-0.00814652228302162,0.01751961183357109,-0.1186813186813187,-0.036905656420920224,0.1191483361534123,0.2976190476190476,0.30952380952380953,0.0,0.3818108458202235,0.6181891541797765,1,1
442,Maximilian Marterer,Gilles Simon,0.044022041727011366,-0.014024778844562224,-0.014623026644836725,-0.0318149592343141,-0.16373262451522946,-0.1195465475781518,-0.43478260869565216,-0.5,0.0,0.7250885625642208,0.27491143743577917,0,0
446,Laslo Djere,Ilya Ivashka,-0.0915477302031924,-0.01191587746209595,-0.07302244939316838,-0.009311740890688258,-0.0018604651162790478,-0.07074504442925494,-0.5,0.5555555555555556,0.0,0.49612059801303876,0.5038794019869612,1,0
453,Dominic Thiem,Fernando Verdasco,0.026200769728798232,-0.0050659756567627634,0.04867905945905582,-0.042625107753731684,0.029557515022018917,-0.011563448466149928,0.2265795206971677,0.01073345259391778,0.04000000000000002,0.43041279190124637,0.5695872080987536,1,0
454,Marin Cilic,Gael Monfils,0.04219975651007493,-0.005957848540518472,0.07560915522501566,-0.10057584561112264,-0.06968146523871571,-0.02252684546350575,0.34920634920634924,0.10383597883597884,0.05555555555555556,0.4005098947923097,0.5994901052076903,1,0
463,Jiri Vesely,Federico Delbonis,0.03647373361165614,0.010559654681292977,0.01167146007496167,0.029749518304431618,0.0061538461538461755,0.03394482160912898,0.09999999999999998,0.8,0.06666666666666668,0.31694265963481794,0.6830573403651821,1,0
466,Guillermo Garcia Lopez,Nicolas Jarry,-0.05111613125550408,0.02537958837835201,-0.0116327316914141,-0.017315470171890834,-0.07142857142857145,-0.02808573540280856,0.25,0.26666666666666666,0.0,0.4364153936204236,0.5635846063795764,1,0
474,Victor Estrella,Nicolas Kicker,0.012686945351262809,-0.002259843726060973,0.028128076379455358,-0.04433497536945813,-0.11099071207430343,-0.1152292152292152,-0.017094017094017144,-0.09401709401709403,0.0,0.546782523525305,0.45321747647469507,0,0
476,Juan Martin Del Potro,Kevin Anderson,-0.058325933325933325,-0.0038318163318163297,-0.03314397851683537,0.054325167037861916,0.028855608672995414,0.032825480106279226,0.13364055299539168,0.06312292358803984,0.0,0.4946992362408512,0.5053007637591488,1,1
477,Jared Donaldson,Kevin Anderson,-0.08198704280793834,0.01112227324913892,-0.04365829053558323,0.11314131053561975,0.008607756073165941,0.019315770002141908,-0.06451612903225812,-0.16544850498338876,0.07142857142857144,0.5997196168598948,0.4002803831401051,0,0
480,Kevin Anderson,Hyeon Chung,0.1184869401061572,-0.012609499041883382,0.07267054000987473,-0.1225400007974527,-0.08039051090693744,-0.06524422500440841,0.1223118279569893,0.09560723514211887,0.057142857142857134,0.4287063556695684,0.5712936443304316,1,1
481,Juan Martin Del Potro,Dominic Thiem,0.033141229343761,-0.008836882254603776,0.009536426834194422,-0.012815752461322076,-0.04582743988684584,-0.017035117702188685,0.18928571428571428,0.07494145199063229,0.045000000000000005,0.46512444428132316,0.5348755557186768,1,1
484,Jared Donaldson,Matthew Ebden,0.02378450241179561,-0.01419607941757095,0.039034607041171454,0.04029680648118325,0.006658904009897382,0.007175942592459295,0.016129032258064502,-0.11428571428571427,0.0,0.5283700047506323,0.4716299952493677,0,1
485,Hyeon Chung,Ernesto Escobedo,-0.02513717289761681,0.012977562979847458,0.014887919793811209,0.01206389036336436,0.16226481243426435,0.1092263047838518,0.10119047619047616,0.16666666666666669,0.025,0.40859340457316407,0.5914065954268359,1,1
488,Dominic Thiem,Denis Shapovalov,-0.028925837758901483,-0.013056652319189371,0.0016044747628346512,0.004149085794655394,0.15030368583076795,0.06347917850474878,-0.0013157894736841589,0.14170040485829966,0.0,0.435828498214999,0.564171501785001,1,1
490,Peter Gojowczyk,Alexander Zverev,-0.010583707275242963,0.006449468989365471,0.03014437594529351,0.06610264823060699,-0.01098450536352802,-0.006259780907668266,-0.06666666666666665,-0.17578772802653395,0.1,0.567101750806189,0.43289824919381104,0,0
492,Alexander Bublik,Thanasi Kokkinakis,0.05786858676302574,0.020714323670855808,-0.007150801696900522,0.033699059561128515,0.044328552803129084,-0.05026455026455024,-0.06666666666666665,-0.061538461538461535,0.0,0.5200090628673613,0.4799909371326387,0,0
499,Juan Martin Del Potro,Mischa Zverev,0.033072678861015795,-0.0027717263138429434,0.042179266996132836,-0.027834609494640145,0.06462784103831515,-0.03479833491838297,0.2406015037593985,0.06938775510204076,0.028571428571428567,0.4055370883779146,0.5944629116220854,1,1
502,Dominic Thiem,Cameron Norrie,0.017536842917045076,-0.018895044757898775,0.10459159959290942,-0.5569620253164558,0.08959664439350337,0.12206185567010308,0.025000000000000026,0.4153846153846154,0.0,0.26186456897621024,0.7381354310237898,1,1
503,John Isner,Ryan Harrison,0.12808517790142634,-0.019233426619636212,0.07443476371537205,-0.16507957692436026,-0.10796080832823024,-0.027360515021459253,0.0892857142857143,0.23423423423423415,0.04000000000000002,0.40729127258717024,0.5927087274128298,1,0
506,Roberto Bautista Agut,Lucas Pouille,-0.06314315828156025,-0.01874216674291726,-0.04812826811608217,0.016993823808709146,0.08690228901922448,-0.007583196944899062,0.16844919786096255,0.0644804716285925,0.05500000000000002,0.45736947734761535,0.5426305226523847,1,1
513,Malek Jaziri,Robin Haase,-0.03771986856855412,0.0052592809894327006,-0.015347388964841668,0.07020558268523541,0.005655000445275614,0.00576923076923075,0.0,-0.13520408163265307,0.016666666666666666,0.5636166051329491,0.4363833948670509,0,1
515,Pierre Hugues Herbert,Roberto Bautista Agut,0.07838825637530689,0.022925249968936648,0.036556957131119734,0.0066841785446002675,-0.23867494983793794,-0.16136267200096988,-0.4114832535885168,-0.3615819209039549,0.08333333333333334,0.7020555554162649,0.2979444445837351,0,0
521,Grigor Dimitrov,Malek Jaziri,0.0431151729131491,0.00205946571446132,0.05313969476570102,-0.1497612952328236,0.02520964397181941,0.009321223709368998,0.28,0.3836206896551724,0.025,0.3221221146188603,0.6778778853811397,1,0
522,Quentin Halys,Robin Haase,0.01719835963785774,0.028512005742334645,0.010679699295446321,0.024905400756793983,-0.09618874773139743,0.05012406947890818,-0.16666666666666669,-0.22448979591836735,0.1,0.6229331444832085,0.3770668555167915,0,0
524,Roberto Bautista Agut,Florian Mayer,-0.016839299512923588,0.0065185385475026655,0.00625564306649451,-0.02780722026260765,0.17118768328445744,0.03425829489659277,0.6161616161616161,0.31991525423728817,0.020000000000000004,0.281862324384225,0.718137675615775,1,1
528,Thomas Fabbiano,Filip Krajinovic,-0.07301123598593474,0.021525219477541085,-0.09091259553388142,0.3925759280089989,0.10741237632064396,-0.21390916463909165,-0.4835164835164835,-0.5,0.0,0.7466947989396748,0.2533052010603251,0,0
530,Yannick Maden,Damir Dzumhur,0.010684053009839241,-0.03109649600209307,0.03900286259541985,-0.07644110275689225,-0.12912727445484348,-0.15551048005409066,-0.18000000000000005,0.07017543859649122,0.0,0.5310481068438677,0.46895189315613234,0,0
532,Jan Lennard Struff,Andreas Haider Maurer,0.03330744241713686,-0.020598422119635574,0.17021571515204026,-1.2422839506172842,0.06962025316455697,0.16716417910447762,0.5161290322580645,0.5102040816326531,0.0,0.11020367608059645,0.8897963239194036,1,1
543,Guido Pella,Nicolas Jarry,-0.036910913205407014,-0.0033897967800972685,-0.017543501796557615,-0.0988372093023256,-0.07261607885049283,-0.021390374331550777,0.4615384615384616,0.4827586206896552,0.0,0.33969888188175834,0.6603011181182417,1,0
